PropertyID,SaleDollarCnt,TransDate,censusblockgroup,ZoneCodeCounty,Usecode,BedroomCnt,BathroomCnt,FinishedSquareFeet,GarageSquareFeet,LotSizeSquareFeet,StoryCnt,BuiltYear,ViewType,Latitude,Longitude,BGMedHomeValue,BGMedRent,BGMedYearBuilt,BGPctOwn,BGPctVacant,BGMedIncome,BGPctKids,BGMedAge
48648941,285000,5/23/2015,5.30E+11,R7,9,4,2,1900,480,7482,1,1965,NA,47321389,-122213716,107800,844,1975,0.6685,0.078,42854,0.1924,48.6
48648982,309950,8/22/2015,5.30E+11,R8P,9,3,2,2170,320,14208,1,1953,79,47482082,-122244269,181500,925,1969,0.5753,0.0192,54013,0.3718,42.6
48649024,476000,8/27/2015,5.30E+11,SF 7200,9,4,1,2150,590,6500,1,1955,NA,47561383,-122308083,344300,733,1946,0.6331,0,56782,0.3207,40.7
48649040,324950,7/1/2015,5.30E+11,R1,9,4,2.25,2560,NA,15767,1,1962,79,47387929,-122279389,284200,900,1977,0.5456,0.0573,44200,0.3359,40
48649057,325000,6/20/2015,5.30E+11,LDR,9,4,1.75,1720,NA,8620,2,1948,78,47477068,-122263852,290100,802,1972,0.4267,0.0551,65282,0.1633,44.4
48649061,235000,4/7/2015,5.30E+11,LDR,9,3,1,1430,240,7599,2,1930,NA,47478287,-122264698,290100,802,1972,0.4267,0.0551,65282,0.1633,44.4
48649122,653295,7/25/2015,5.30E+11,SF 5000,9,4,1.5,2110,NA,7000,2,1915,NA,47578139,-122294489,470100,625,1955,0.5757,0,66875,0.2709,45.2
48649137,370000,9/17/2015,5.30E+11,R8P,9,3,2,1750,NA,34465,2,1961,78,47493229,-122261042,190500,755,1972,0.3233,0,48582,0.1241,40.1
48649324,334950,9/25/2015,5.30E+11,SF 5000,9,2,1,790,NA,5240,1,1925,NA,47530271,-122288466,296300,897,1957,0.8322,0.0714,46875,0.3636,40
48649440,625000,7/9/2015,5.30E+11,SF 5000,9,3,2.25,1680,480,3863,2,1988,NA,47680263,-122301434,458900,1348,1955,0.7047,0,94087,0.2542,34.3
48649479,315000,9/26/2015,5.30E+11,R5,9,3,3,3020,NA,27229,1,2000,79,47314497,-122254904,354400,1186,1985,0.8754,0.0796,101071,0.3446,40.3
48649557,872750,5/2/2015,5.30E+11,R5,9,3,3,2870,870,13695,2,1991,NA,47694388,-122101865,512200,NA,1994,0.977,0,137019,0.6054,36.3
48649563,830000,7/29/2015,5.30E+11,R5,9,3,2.5,2730,540,8027,2,1991,NA,47693889,-122101437,512200,NA,1994,0.977,0,137019,0.6054,36.3
