,SaleDollarCnt
0,285000.0
1,309950.0
2,476000.0
3,324950.0
4,325000.0
5,235000.0
6,653295.0
7,370000.0
8,334950.0
9,625000.0
10,315000.0
11,872750.0
12,830000.0
13,850000.0
14,730000.0
15,795000.0
16,730000.0
17,812000.0
18,787500.0
19,275000.0
20,268000.0
21,219950.0
22,152000.0
23,460000.0
24,547000.0
25,632000.0
26,610000.0
27,509000.0
28,1150000.0
29,1038000.0
30,460000.0
31,468900.0
32,480000.0
33,380000.0
34,224950.0
35,330000.0
36,1378400.0
37,245000.0
38,625000.0
39,1180000.0
40,730000.0
41,611206.0
42,1000000.0
43,785000.0
44,390000.0
45,375000.0
46,838000.0
47,460000.0
48,265000.0
49,418100.0
50,388000.0
51,385000.0
52,359000.0
53,445990.0
54,666000.0
55,750000.0
56,995000.0
57,270000.0
58,258400.0
59,360000.0
60,273500.0
61,260000.0
62,265000.0
63,227950.0
64,227000.0
65,320000.0
66,281375.0
67,309000.0
68,260000.0
69,270000.0
70,289950.0
71,520000.0
72,505000.0
73,299000.0
74,302150.0
75,298950.0
76,211000.0
77,417500.0
78,402500.0
79,375000.0
80,285000.0
81,287000.0
82,235000.0
83,630000.0
84,680000.0
85,339000.0
86,533630.0
87,425000.0
88,676000.0
89,490000.0
90,659000.0
91,180000.0
92,390100.0
93,373000.0
94,305000.0
95,369950.0
96,335000.0
97,330000.0
98,310000.0
99,320000.0
100,479000.0
101,422500.0
102,540000.0
103,530000.0
104,471000.0
105,500000.0
106,535000.0
107,1220400.0
108,376500.0
109,629900.0
110,475000.0
111,719950.0
112,530000.0
113,565000.0
114,525000.0
115,570000.0
116,699950.0
117,615000.0
118,547000.0
119,475000.0
120,500000.0
121,390000.0
122,444000.0
123,275000.0
124,665000.0
125,377000.0
126,203000.0
127,975000.0
128,1045000.0
129,759950.0
130,740000.0
131,1210000.0
132,490000.0
133,446500.0
134,498000.0
135,193000.0
136,360000.0
137,600000.0
138,625000.0
139,850000.0
140,1575000.0
141,1770000.0
142,720000.0
143,1550000.0
144,885000.0
145,1244250.0
146,339000.0
147,269900.0
148,315000.0
149,505000.0
150,442500.0
151,598000.0
152,575000.0
153,581000.0
154,638000.0
155,620000.0
156,655000.0
157,1122000.0
158,560000.0
159,440000.0
160,475000.0
161,1078000.0
162,899900.0
163,585000.0
164,356000.0
165,675000.0
166,660000.0
167,595000.0
168,620000.0
169,705000.0
170,429950.0
171,499950.0
172,403000.0
173,727000.0
174,782500.0
175,450000.0
176,599950.0
177,329500.0
178,365000.0
179,375000.0
180,665000.0
181,495000.0
182,610000.0
183,569900.0
184,700000.0
185,416000.0
186,423100.0
187,676000.0
188,260000.0
189,700000.0
190,1188000.0
191,585000.0
192,850000.0
193,650100.0
194,650000.0
195,1316250.0
196,428500.0
197,535000.0
198,590000.0
199,350000.0
200,464000.0
201,530000.0
202,945000.0
203,464850.0
204,235000.0
205,296000.0
206,336000.0
207,535000.0
208,469000.0
209,303000.0
210,299900.0
211,550000.0
212,870000.0
213,870000.0
214,358000.0
215,1910000.0
216,1800000.0
217,1580000.0
218,2085000.0
219,399950.0
220,459950.0
221,351500.0
222,325000.0
223,705000.0
224,678000.0
225,489000.0
226,452500.0
227,410000.0
228,460000.0
229,521888.0
230,250800.0
231,200000.0
232,265000.0
233,410000.0
234,1095000.0
235,480000.0
236,491650.0
237,541200.0
238,505000.0
239,505000.0
240,525000.0
241,485000.0
242,517000.0
243,605000.0
244,670000.0
245,890000.0
246,605000.0
247,1300000.0
248,1565000.0
249,554000.0
250,1320000.0
251,490000.0
252,304000.0
253,826000.0
254,355000.0
255,665000.0
256,1700000.0
257,850000.0
258,1410000.0
259,1810000.0
260,575000.0
261,609800.0
262,900000.0
263,797500.0
264,640000.0
265,590000.0
266,880000.0
267,949000.0
268,304000.0
269,260000.0
270,424950.0
271,250000.0
272,244950.0
273,140000.0
274,270000.0
275,425100.0
276,249950.0
277,720000.0
278,725000.0
279,712000.0
280,630000.0
281,705000.0
282,735000.0
283,423000.0
284,505000.0
285,807000.0
286,475000.0
287,535000.0
288,550000.0
289,375000.0
290,612500.0
291,373000.0
292,502000.0
293,740000.0
294,721000.0
295,714000.0
296,720000.0
297,352000.0
298,238525.0
299,319900.0
300,375000.0
301,430000.0
302,1200000.0
303,1100000.0
304,250000.0
305,345900.0
306,362500.0
307,461000.0
308,411000.0
309,310000.0
310,425000.0
311,351000.0
312,343000.0
313,480000.0
314,655000.0
315,656000.0
316,870000.0
317,875000.0
318,675000.0
319,667500.0
320,790000.0
321,737000.0
322,549950.0
323,350000.0
324,517000.0
325,565000.0
326,1015000.0
327,603000.0
328,520000.0
329,545000.0
330,774500.0
331,1150000.0
332,1700000.0
333,1375000.0
334,387000.0
335,835000.0
336,890000.0
337,379950.0
338,385000.0
339,325000.0
340,1293000.0
341,510000.0
342,515000.0
343,1190000.0
344,1185000.0
345,1360000.0
346,260000.0
347,763000.0
348,575000.0
349,350000.0
350,535000.0
351,325000.0
352,211500.0
353,215000.0
354,246600.0
355,320000.0
356,279500.0
357,281500.0
358,350000.0
359,550000.0
360,415000.0
361,455000.0
362,343000.0
363,336000.0
364,426000.0
365,365000.0
366,225000.0
367,213800.0
368,191000.0
369,549000.0
370,209950.0
371,260000.0
372,239950.0
373,540000.0
374,205000.0
375,208000.0
376,285000.0
377,268000.0
378,315000.0
379,225000.0
380,250000.0
381,240000.0
382,215000.0
383,460000.0
384,620000.0
385,250000.0
386,289950.0
387,231000.0
388,450000.0
389,300000.0
390,265000.0
391,325000.0
392,800000.0
393,875000.0
394,530000.0
395,699990.0
396,785000.0
397,175000.0
398,232950.0
399,395000.0
400,779100.0
401,975000.0
402,894400.0
403,499950.0
404,255000.0
405,295000.0
406,310000.0
407,275000.0
408,642000.0
409,1220000.0
410,635000.0
411,835000.0
412,815000.0
413,223000.0
414,322500.0
415,350000.0
416,650000.0
417,610000.0
418,1400000.0
419,820000.0
420,900000.0
421,735000.0
422,825000.0
423,583950.0
424,652000.0
425,805000.0
426,653000.0
427,515000.0
